id	condition	cond2	tradhyp	controltrans	honesthyp	disclosurehyp	likemu_1	likejd_1	likepc_1	likepd_1	like	goodmu_1	goodjd_1	goodpc_1	goodpd_1	good	trustmu_1	trustjd_1	trustpc_1	trustpd_1	trust	honestmu_1	honestjd_1	honestpc_1	honestpd_1	honest	hypmu_1	hypjd_1	hyppc_1	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
175	tradhyp	1	1	0	0	0			0	100	50			0	100	50			0	100	50			0	100	50			100	50	75	50	39	1	4	5	3	2
176	honesthyp	2	0	0	1	0	0			45	22.5	18			44	31	0			33	16.5	0			30	15	96			100	98	21.25	24	1	4	4	5	2
177	tradhyp	1	1	0	0	0			47	65	56			38	43	40.5			37	15	26			12	18	15			89	86	87.5	34.375	31	1	5	7	5	1
178	disclosurehyp	4	0	0	0	1	28	27			27.5	48	24			36	29	24			26.5	76	8			42	85	97			91	33	31	1	5	7	5	1
179	honesthyp	2	0	0	1	0		54	33		43.5		60	25		42.5		52	18		35		80	69		74.5		49	38		43.5	48.875	23	1	2	4	3	1
180	controltrans	3	0	1	0	0			15	12	13.5			15	33	24			14	34	24			14	33	23.5			91	78	84.5	21.25	38	1	4	10	4	1
181	disclosurehyp	4	0	0	0	1		6	57		31.5		17	62		39.5		18	39		28.5		4	39		21.5		88	58		73	30.25	35	1	6	7	2	1
182	tradhyp	1	1	0	0	0		30	68		49		30	68		49		29	35		32		37	29		33		69	68		68.5	40.75	23	2	4	3	5	1
183	controltrans	3	0	1	0	0	38	35			36.5	49	38			43.5	47	26			36.5	45	45			45	58	61			59.5	40.375	28	1	5	9	5	2
184	honesthyp	2	0	0	1	0	59			36	47.5	64			42	53	64			57	60.5	75			39	57	14			65	39.5	54.5	44	1	4	10	6	1
185	disclosurehyp	4	0	0	0	1			75	66	70.5			34	70	52			56	37	46.5			59	29	44			61	21	41	53.25	45	1	5	9	6	1
186	tradhyp	1	1	0	0	0		27	48		37.5		47	48		47.5		42	32		37		28	45		36.5		82	76		79	39.625	42	2	5	6	5	2
187	disclosurehyp	4	0	0	0	1		0	0		0		0	0		0		0	0		0		0	0		0		100	100		100	0	57	1	4	2	7	1
188	disclosurehyp	4	0	0	0	1	20	26			23	21	50			35.5	4	8			6	7	25			16	93	92			92.5	20.125	30	1	6	8	3	2
189	tradhyp	1	1	0	0	0	28			42	35	28			42	35	31			42	36.5	32			44	38	76			60	68	36.125	41	1	4	5	4	1
190	disclosurehyp	4	0	0	0	1	41			60	50.5	35			72	53.5	10			58	34	8			74	41	85			58	71.5	44.75	55	2	6	9	5	1
191	tradhyp	1	1	0	0	0	10	18			14	20	45			32.5	22	27			24.5	10	17			13.5	96	98			97	21.125	27	2	4	3	2	1
192	tradhyp	1	1	0	0	0			39	38	38.5			25	24	24.5			35	23	29			26	25	25.5			78	78	78	29.375	42	1	4	7	5	2
193	controltrans	3	0	1	0	0		62	38		50		35	40		37.5		35	40		37.5		38	40		39		64	41		52.5	41	31	1	2	6	5	2
194	disclosurehyp	4	0	0	0	1			1	17	9			5	11	8			1	4	2.5			1	4	2.5			99	77	88	5.5	52	1	4	3	5	2
195	disclosurehyp	4	0	0	0	1		15	15		15		37	5		21		33	17		25		16	5		10.5		92	92		92	17.875	33	2	6	8	5	1
196	controltrans	3	0	1	0	0			50	43	46.5			32	59	45.5			33	35	34			24	38	31			70	60	65	39.25	21	1	4	3	6	1
197	honesthyp	2	0	0	1	0		24	12		18		31	40		35.5		41	13		27		27	29		28		39	13		26	27.125	30	1	6	6	5	2
198	disclosurehyp	4	0	0	0	1	10			20	15	8			20	14	8			14	11	15			17	16	90			90	90	14	38	2	6	7	6	1
199	honesthyp	2	0	0	1	0		29	22		25.5		44	31		37.5		23	22		22.5		0	17		8.5		100	0		50	23.5	43	1	4	6	2	1
200	tradhyp	1	1	0	0	0		37	0		18.5		43	24		33.5		46	5		25.5		42	0		21		100	100		100	24.625	57	2	4	6	5	1
201	controltrans	3	0	1	0	0	6			7	6.5	13			23	18	0			15	7.5	0			11	5.5	74			66	70	9.375	35	2	6	2	6	1
202	controltrans	3	0	1	0	0	25	43			34	38	41			39.5	31	37			34	16	25			20.5	57	48			52.5	32	34	2	5	1	3	1
203	tradhyp	1	1	0	0	0	50	50			50	50	47			48.5	45	50			47.5	41	39			40	66	78			72	46.5	26	1	2	1	4	4
204	disclosurehyp	4	0	0	0	1		44	24		34		51	34		42.5		47	26		36.5		38	47		42.5		70	94		82	38.875	25	2	5	2	7	2
205	tradhyp	1	1	0	0	0		0	0		0		0	0		0		0	0		0		1	0		0.5		99	99		99	0.125	29	1	5	4	5	1
206	tradhyp	1	1	0	0	0		39	40		39.5		48	48		48		54	46		50		52	39		45.5		75	81		78	45.75	28	1	5	3	3	3
207	controltrans	3	0	1	0	0	43			39	41	41			39	40	36			37	36.5	23			39	31	62			57	59.5	37.125	34	2	5	5	5	2
208	honesthyp	2	0	0	1	0			34	13	23.5			42	43	42.5			38	40	39			36	26	31			64	57	60.5	34	31	1	5	8	5	3
209	honesthyp	2	0	0	1	0		38	7		22.5		55	36		45.5		65	40		52.5		59	65		62		64	95		79.5	45.625	21	2	4	9	4	1
210	honesthyp	2	0	0	1	0	50			55	52.5	52			54	53	50			50	50	45			47	46	92			43	67.5	50.375	33	2	5	10	4	1
211	tradhyp	1	1	0	0	0		2	9		5.5		2	12		7		2	8		5		2	12		7		97	97		97	6.125	49	2	4	4	5	1
212	controltrans	3	0	1	0	0	50	54			52	48	48			48	43	36			39.5	37	48			42.5	50	43			46.5	45.5	25	2	5	6	5	1
213	disclosurehyp	4	0	0	0	1			60	57	58.5			69	75	72			30	53	41.5			31	44	37.5			76	67	71.5	52.375	34	2	4	7	6	1
214	tradhyp	1	1	0	0	0		2	0		1		2	0		1		3	0		1.5		1	0		0.5		99	100		99.5	1	74	1	5	7	6	3
215	tradhyp	1	1	0	0	0	3			27	15	27			47	37	31			34	32.5	18			29	23.5	89			73	81	27	22	1	5	7	5	1
216	tradhyp	1	1	0	0	0			55	50	52.5			50	52	51			51	68	59.5			49	52	50.5			71	69	70	53.375	0.37	1	2	9	6	3
217	disclosurehyp	4	0	0	0	1	10	24			17	17	29			23	11	18			14.5	13	26			19.5	87	81			84	18.5	37	2	3	3	4	2
218	tradhyp	1	1	0	0	0	29	47			38	29	54			41.5	28	48			38	29	41			35	100	100			100	38.125	22	2	4	4	5	3
219	controltrans	3	0	1	0	0		75	56		65.5		71	29		50		81	29		55		77	28		52.5		43	76		59.5	55.75	67	2	2	6	7	2
220	tradhyp	1	1	0	0	0			26	39	32.5			21	40	30.5			21	36	28.5			16	40	28			13	63	38	29.875	57	1	2	2	4	1
221	tradhyp	1	1	0	0	0		50	50		50		16	16		16		16	16		16		18	15		16.5		100	100		100	24.625	22	1	2	1	5	1
222	disclosurehyp	4	0	0	0	1	49	53			51	65	62			63.5	39	43			41	58	66			62	56	60			58	54.375	43	2	5	4	5	3
223	controltrans	3	0	1	0	0	50			50	50	50			50	50	50			57	53.5	52			58	55	24			37	30.5	52.125	23	2	4	3	5	2
224	honesthyp	2	0	0	1	0	35			26	30.5	31			43	37	26			23	24.5	25			25	25	84			78	81	29.25	70	1	4	6	6	1
225	disclosurehyp	4	0	0	0	1	23			28	25.5	71			10	40.5	2			21	11.5	12			18	15	8			80	44	23.125	22	2	5	2	6	3
226	controltrans	3	0	1	0	0	27			50	38.5	56			52	54	37			38	37.5	28			54	41	67			67	67	42.75	29	1	4	7	5	3
227	disclosurehyp	4	0	0	0	1	50			37	43.5	38			48	43	31			47	39	27			62	44.5	73			36	54.5	42.5	46	2	4	3	3	1
228	honesthyp	2	0	0	1	0		47	44		45.5		41	34		37.5		16	15		15.5		12	16		14		87	76		81.5	28.125	43	1	5	2	6	2
229	tradhyp	1	1	0	0	0			0	0	0			17	8	12.5			10	10	10			20	2	11			100	100	100	8.375	35	2	4	7	3	1
230	tradhyp	1	1	0	0	0	34			54	44	45			50	47.5	23			44	33.5	36			39	37.5	96			78	87	40.625	34	2	4	7	5	2
231	honesthyp	2	0	0	1	0		51	49		50		75	57		66		44	76		60		43	44		43.5		71	68		69.5	54.875	26	1	3	1	3	1
232	tradhyp	1	1	0	0	0	0	0			0	0	6			3	0	11			5.5	0	0			0	100	100			100	2.125	56	2	5	6	3	1
233	tradhyp	1	1	0	0	0	9			5	7	12			7	9.5	12			7	9.5	6			8	7	95			97	96	8.25	35	1	6	9	5	2
234	disclosurehyp	4	0	0	0	1		46	25		35.5		55	52		53.5		33	29		31		29	19		24		65	33		49	36	55	1	4	2	6	3
235	tradhyp	1	1	0	0	0	9			31	20	23			16	19.5	13			25	19	6			18	12	95			89	92	17.625	43	2	5	6	5	1
236	honesthyp	2	0	0	1	0	25			38	31.5	32			25	28.5	26			32	29	20			31	25.5	100			100	100	28.625	33	2	5	7	5	3
237	tradhyp	1	1	0	0	0	2	6			4	10	5			7.5	2	12			7	13	6			9.5	93	13			53	7	20	1	2	4	3	1
238	controltrans	3	0	1	0	0			48	56	52			49	58	53.5			37	63	50			40	47	43.5			62	36	49	49.75	23	1	4	3	5	1
239	honesthyp	2	0	0	1	0		25	39		32		39	33		36		35	20		27.5		33	28		30.5		27	14		20.5	31.5	47	1	6	8	6	2
240	honesthyp	2	0	0	1	0		50	36		43		45	50		47.5		43	17		30		48	35		41.5		52	84		68	40.5	30	2	4	7	7	1
241	tradhyp	1	1	0	0	0	9			16	12.5	15			30	22.5	10			4	7	11			7	9	88			66	77	12.75	24	1	5	3	3	2
242	disclosurehyp	4	0	0	0	1		50	27		38.5		50	12		31		50	50		50		50	100		75		86	100		93	48.625	30	1	6	6	7	1
243	controltrans	3	0	1	0	0	0	0			0	0	0			0	0	0			0	0	0			0	100	83			91.5	0	26	1	2	4	6	1
244	honesthyp	2	0	0	1	0		49	49		49		50	50		50		26	19		22.5		25	17		21		70	73		71.5	35.625	29	2	4	4	5	1
245	honesthyp	2	0	0	1	0		35	16		25.5		39	27		33		21	24		22.5		36	23		29.5		67	97		82	27.625	20	1	4	9	5	1
246	honesthyp	2	0	0	1	0		21	22		21.5		33	44		38.5		19	30		24.5		16	31		23.5		91	92		91.5	27	39	1	6	10	4	1
247	controltrans	3	0	1	0	0	63			67	65	74			75	74.5	71			67	69	62			62	62	32			21	26.5	67.625	34	2	5	1	7	2
248	controltrans	3	0	1	0	0	7	26			16.5	4	41			22.5	0	34			17	0	45			22.5	50	49			49.5	19.625	38	1	5	4	4	1
249	disclosurehyp	4	0	0	0	1	68			44	56	54			51	52.5	39			48	43.5	52			40	46	72			57	64.5	49.5	21	1	4	3	4	3
250	honesthyp	2	0	0	1	0	42			54	48	45			52	48.5	39			46	42.5	60			52	56	54			46	50	48.75	27	2	6	3	5	1
251	controltrans	3	0	1	0	0		1	15		8		29	13		21		6	17		11.5		16	24		20		91	91		91	15.125	21	1	6	10	6	4
252	disclosurehyp	4	0	0	0	1			59	29	44			43	41	42			36	47	41.5			40	25	32.5			64	68	66	40	39	1	6	8	3	1
253	disclosurehyp	4	0	0	0	1	35			36	35.5	34			39	36.5	33			31	32	24			29	26.5	83			79	81	32.625	28	1	5	9	5	2
254	tradhyp	1	1	0	0	0		62	60		61		64	67		65.5		65	47		56		62	59		60.5		86	82		84	60.75	44	1	3	7	6	2
255	controltrans	3	0	1	0	0	31	40			35.5	45	51			48	48	50			49	48	56			52	54	52			53	46.125	30	1	5	8	6	4
256	tradhyp	1	1	0	0	0			74	44	59			59	28	43.5			36	26	31			58	26	42			82	86	84	43.875	21	1	4	1	6	3
257	disclosurehyp	4	0	0	0	1	48			43	45.5	40			50	45	33			32	32.5	30			22	26	100			99	99.5	37.25	41	2	5	6	5	1
258	tradhyp	1	1	0	0	0	19			33	26	51			43	47	15			25	20	13			36	24.5	83			81	82	29.375	34	1	5	10	4	2
259	disclosurehyp	4	0	0	0	1	72			92	82	80			82	81	75			89	82	76			83	79.5	27			21	24	81.125	54	2	5	7	6	1
260	disclosurehyp	4	0	0	0	1	39			49	44	53			52	52.5	21			38	29.5	23			39	31	75			70	72.5	39.25	28	2	5	10	5	2
261	honesthyp	2	0	0	1	0	17	20			18.5	23	45			34	5	37			21	3	38			20.5	93	78			85.5	23.5	38	2	4	6	4	2
262	tradhyp	1	1	0	0	0		35	37		36		56	50		53		23	37		30		33	36		34.5		76	68		72	38.375	21	1	4	4	3	2
263	controltrans	3	0	1	0	0			40	31	35.5			28	33	30.5			18	25	21.5			16	27	21.5			59	41	50	27.25	25	1	3	2	2	1
264	tradhyp	1	1	0	0	0			63	24	43.5			30	41	35.5			43	29	36			35	29	32			36	82	59	36.75	36	2	4	4	5	1
265	honesthyp	2	0	0	1	0	64	39			51.5	62	44			53	56	38			47	42	37			39.5	64	76			70	47.75	22	1	4	2	5	1
266	honesthyp	2	0	0	1	0			50	50	50			52	50	51			50	50	50			26	50	38			81	79	80	47.25	51	2	2	3	4	3
267	tradhyp	1	1	0	0	0	24			29	26.5	61			28	44.5	29			34	31.5	33			56	44.5	85			100	92.5	36.75	28	2	6	7	6	4
268	disclosurehyp	4	0	0	0	1	35			34	34.5	42			27	34.5	2			2	2	2			5	3.5	97			100	98.5	18.625	37	2	3	7	4	1
269	controltrans	3	0	1	0	0	32			29	30.5	33			35	34	33			26	29.5	26			26	26	42			22	32	30	36	2	4	10	5	2
270	tradhyp	1	1	0	0	0		62	39		50.5		58	34		46		62	60		61		67	69		68		25	39		32	56.375	31	2	5	8	4	1
271	honesthyp	2	0	0	1	0			35	34	34.5			40	33	36.5			35	34	34.5			35	35	35			69	85	77	35.125	30	1	5	3	6	1
272	disclosurehyp	4	0	0	0	1		50	1		25.5		50	0		25		48	1		24.5		50	0		25		50	100		75	25	27	1	5	2	7	3
273	honesthyp	2	0	0	1	0			37	40	38.5			50	50	50			50	50	50			50	68	59			3	57	30	49.375	31	2	4	5	4	1
274	controltrans	3	0	1	0	0			24	17	20.5			18	6	12			7	12	9.5			17	4	10.5			31	18	24.5	13.125	23	2	4	4	5	1
275	controltrans	3	0	1	0	0			48	43	45.5			48	44	46			31	46	38.5			42	46	44			48	56	52	43.5	45	1	5	10	5	1
276	honesthyp	2	0	0	1	0		43	42		42.5		55	59		57		44	48		46		50	34		42		32	30		31	46.875	37	2	4	4	5	1
277	honesthyp	2	0	0	1	0			33	44	38.5			43	36	39.5			33	38	35.5			26	41	33.5			67	60	63.5	36.75	66	1	5	8	4	1
278	tradhyp	1	1	0	0	0		24	19		21.5		22	21		21.5		21	20		20.5		15	23		19		0	0		0	20.625	55	2	4	4	5	4
279	disclosurehyp	4	0	0	0	1			0	0	0			0	0	0			0	0	0			0	0	0			100	100	100	0	24	1	5	6	4	1
280	disclosurehyp	4	0	0	0	1		23	40		31.5		37	14		25.5		12	2		7		0	0		0		91	97		94	16	25	2	4	5	4	1
281	honesthyp	2	0	0	1	0	14			18	16	43			36	39.5	28			11	19.5	14			22	18	100			100	100	23.25	23	2	5	1	3	1
282	tradhyp	1	1	0	0	0			0	13	6.5			25	10	17.5			0	0	0			0	2	1			100	100	100	6.25	22	1	2	5	3	1
283	disclosurehyp	4	0	0	0	1		30	31		30.5		42	35		38.5		50	30		40		28	37		32.5		90	95		92.5	35.375	33	2	6	9	4	2
284	controltrans	3	0	1	0	0	62			37	49.5	21			15	18	21			58	39.5	46			2	24	6			50	28	32.75	43	1	5	10	2	1
285	honesthyp	2	0	0	1	0			49	23	36			46	43	44.5			35	48	41.5			78	66	72			0	0	0	48.5	30	1	4	8	5	1
286	disclosurehyp	4	0	0	0	1	50			50	50	47			50	48.5	44			50	47	32			38	35	92			97	94.5	45.125	29	2	4	3	4	1
287	disclosurehyp	4	0	0	0	1	46			25	35.5	46			45	45.5	46			41	43.5	46			41	43.5	46			69	57.5	42	47	1	4	7	5	3
288	disclosurehyp	4	0	0	0	1		41	32		36.5		49	21		35		45	49		47		38	40		39		63	48		55.5	39.375	43	2	6	9	5	1
289	honesthyp	2	0	0	1	0	40	39			39.5	43	39			41	57	39			48	43	19			31	60	87			73.5	39.875	26	1	4	6	6	2
290	tradhyp	1	1	0	0	0	7			23	15	26			19	22.5	10			16	13	20			34	27	88			68	78	19.375	37	1	4	6	6	1
291	honesthyp	2	0	0	1	0			0	1	0.5			0	3	1.5			0	0	0			33	30	31.5			100	100	100	8.375	42	2	3	2	1	5
292	disclosurehyp	4	0	0	0	1	24			62	43	18			84	51	16			74	45	8			95	51.5	26			46	36	47.625	38	2	4	5	5	3
293	controltrans	3	0	1	0	0	91			69	80	92			79	85.5	80			91	85.5	75			90	82.5	0			0	0	83.375	54	2	5	4	5	1
294	controltrans	3	0	1	0	0	24	37			30.5	40	41			40.5	11	39			25	5	43			24	29	31			30	30	44	2	3	8	5	3
295	honesthyp	2	0	0	1	0	64			64	64	68			71	69.5	65			62	63.5	69			67	68	71			59	65	66.25	54	2	5	1	5	1
296	tradhyp	1	1	0	0	0		15	27		21		12	17		14.5		14	26		20		14	24		19		90	86		88	18.625	18	1	2	6	5	2
297	controltrans	3	0	1	0	0	50			80	65	50			50	50	29			65	47	41			42	41.5	50			54	52	50.875	34	2	5	6	7	1
298	controltrans	3	0	1	0	0		53	59		56		75	54		64.5		64	24		44		62	38		50		32	65		48.5	53.625	26	1	5	7	5	3
299	controltrans	3	0	1	0	0	47	48			47.5	45	52			48.5	18	47			32.5	31	47			39	43	52			47.5	41.875	26	2	5	7	3	1
300	disclosurehyp	4	0	0	0	1	3	11			7	38	36			37	0	3			1.5	37	21			29	43	47			45	18.625	23	2	4	5	4	1
301	honesthyp	2	0	0	1	0	34			38	36	35			35	35	42			50	46	38			61	49.5	57			63	60	41.625	44	1	6	10	5	3
302	disclosurehyp	4	0	0	0	1	0	10			5	17	9			13	5	4			4.5	4	6			5	89	87			88	6.875	26	1	5	2	6	1
303	disclosurehyp	4	0	0	0	1		32	49		40.5		35	38		36.5		33	41		37		36	57		46.5		75	61		68	40.125	30	1	4	3	2	1
304	honesthyp	2	0	0	1	0	19	19			19	23	39			31	18	17			17.5	20	18			19	100	100			100	21.625	33	1	5	9	6	1
305	controltrans	3	0	1	0	0			0	66	33			16	34	25			27	50	38.5			30	56	43			79	33	56	34.875	25	1	5	7	6	4
306	controltrans	3	0	1	0	0		42	52		47		63	54		58.5		44	32		38		34	40		37		31	69		50	45.125	21	1	4	2	6	2
307	disclosurehyp	4	0	0	0	1	13			28	20.5	5			35	20	12			26	19	6			18	12	98			90	94	17.875	25	2	5	4	5	1
308	honesthyp	2	0	0	1	0	48			0	24	50			32	41	49			47	48	49			10	29.5	18			23	20.5	35.625	31	1	4	4	4	1
309	disclosurehyp	4	0	0	0	1	67	36			51.5	72	40			56	69	37			53	76	43			59.5	63	37			50	55	30	2	5	7	5	2
310	controltrans	3	0	1	0	0			56	58	57			57	55	56			55	57	56			54	40	47			27	57	42	54	25	2	5	2	1	1
311	disclosurehyp	4	0	0	0	1	18			18	18	28			21	24.5	12			24	18	6			14	10	3			94	48.5	17.625	32	2	5	9	5	2
312	tradhyp	1	1	0	0	0	48			59	53.5	65			55	60	39			58	48.5	35			57	46	41			61	51	52	33	1	6	9	6	1
313	controltrans	3	0	1	0	0	36			50	43	39			50	44.5	38			44	41	31			45	38	32			41	36.5	41.625	42	2	4	1	6	1
314	honesthyp	2	0	0	1	0		45	43		44		40	45		42.5		44	30		37		39	22		30.5		61	90		75.5	38.5	29	1	5	6	5	3
315	disclosurehyp	4	0	0	0	1		24	12		18		28	28		28		19	36		27.5		35	0		17.5		18	99		58.5	22.75	43	1	6	8	4	1
316	honesthyp	2	0	0	1	0			7	22	14.5			29	39	34			23	26	24.5			32	29	30.5			68	71	69.5	25.875	29	1	5	7	5	1
317	tradhyp	1	1	0	0	0	11			6	8.5	29			3	16	9			20	14.5	26			0	13	100			100	100	13	22	2	4	10	6	1
318	disclosurehyp	4	0	0	0	1		32	75		53.5		45	85		65		41	87		64		40	69		54.5		87	62		74.5	59.25	20	1	4	2	5	1
319	tradhyp	1	1	0	0	0		0	41		20.5		50	56		53		0	50		25		0	53		26.5		100	100		100	31.25	53	2	5	5	1	3
320	disclosurehyp	4	0	0	0	1	24			10	17	12			15	13.5	11			15	13	3			18	10.5	89			89	89	13.5	33	1	6	2	5	2
321	tradhyp	1	1	0	0	0			71	93	82			59	93	76			60	52	56			56	63	59.5			100	93	96.5	68.375	56	2	4	2	6	1
322	controltrans	3	0	1	0	0		67	41		54		78	58		68		75	65		70		77	60		68.5		56	77		66.5	65.125	48	2	5	4	5	3
323	tradhyp	1	1	0	0	0	9	12			10.5	16	16			16	7	14			10.5	11	3			7	100	100			100	11	59	2	6	5	4	3
324	controltrans	3	0	1	0	0	58	55			56.5	64	59			61.5	51	69			60	67	60			63.5	30	39			34.5	60.375	30	1	5	4	5	2
325	tradhyp	1	1	0	0	0			0	11	5.5			0	13	6.5			0	12	6			0	6	3			100	93	96.5	5.25	36	1	2	1	5	1
326	disclosurehyp	4	0	0	0	1	21	0			10.5	33	0			16.5	9	36			22.5	0	0			0	87	100			93.5	12.375	46	2	3	5	4	1
327	controltrans	3	0	1	0	0			72	81	76.5			68	29	48.5			76	25	50.5			73	76	74.5			67	81	74	62.5	24	2	2	2	6	1
328	disclosurehyp	4	0	0	0	1			29	36	32.5			33	34	33.5			24	27	25.5			14	31	22.5			72	65	68.5	28.5	39	2	6	6	6	1
329	honesthyp	2	0	0	1	0	54	59			56.5	63	53			58	51	48			49.5	59	58			58.5	61	40			50.5	55.625	22	2	5	1	4	1
330	honesthyp	2	0	0	1	0	90	89			89.5	93	83			88	91	85			88	91	88			89.5	37	18			27.5	88.75	65	1	5	10	6	1
331	tradhyp	1	1	0	0	0			24	18	21			15	21	18			19	23	21			17	18	17.5			94	97	95.5	19.375	36	2	4	3	5	3
332	disclosurehyp	4	0	0	0	1	44			39	41.5	28			32	30	31			34	32.5	18			14	16	80			93	86.5	30	29	2	4	6	3	1
333	controltrans	3	0	1	0	0		52	42		47		51	29		40		60	29		44.5		60	21		40.5		0	0		0	43	28	1	4	3	5	1
334	honesthyp	2	0	0	1	0			15	72	43.5			42	84	63			19	62	40.5			15	39	27			99	39	69	43.5	38	2	4	10	5	1
335	disclosurehyp	4	0	0	0	1	13			20	16.5	21			35	28	17			23	20	12			25	18.5	86			83	84.5	20.75	30	2	5	6	5	2
336	disclosurehyp	4	0	0	0	1	49	50			49.5	50	50			50	50	21			35.5	50	18			34	68	64			66	42.25	20	2	4	3	5	1
337	controltrans	3	0	1	0	0	53			14	33.5	50			32	41	50			33	41.5	53			40	46.5	50			50	50	40.625	30	1	5	6	5	1
338	disclosurehyp	4	0	0	0	1			38	50	44			49	46	47.5			40	43	41.5			37	36	36.5			69	59	64	42.375	20	2	2	1	4	3
339	tradhyp	1	1	0	0	0		0	10		5		38	17		27.5		24	0		12		20	0		10		0	100		50	13.625	29	1	6	9	6	1
340	controltrans	3	0	1	0	0			0	0	0			40	47	43.5			18	32	25			34	27	30.5			79	61	70	24.75	30	1	4	3	3	1
341	controltrans	3	0	1	0	0	50	50			50	50	50			50	50	32			41	50	27			38.5	75	29			52	44.875	29	2	5	4	4	1
342	honesthyp	2	0	0	1	0	16			27	21.5	25			31	28	11			20	15.5	14			25	19.5	94			64	79	21.125	30	1	2	4	6	3
343	tradhyp	1	1	0	0	0	20			8	14	8			9	8.5	16			0	8	0			21	10.5	100			90	95	10.25	21	1	4	1	3	1
344	disclosurehyp	4	0	0	0	1			5	13	9			5	23	14			0	12	6			0	0	0			100	100	100	7.25	32	1	5	7	3	1
345	disclosurehyp	4	0	0	0	1	45	55			50	53	45			49	53	94			73.5	17	53			35	65	73			69	51.875	37	2	5	4	3	1
346	disclosurehyp	4	0	0	0	1		10	5		7.5		38	4		21		3	2		2.5		2	2		2		85	8		46.5	8.25	55	2	5	7	5	1
347	disclosurehyp	4	0	0	0	1	0			0	0	0			0	0	0			0	0	0			0	0	100			100	100	0	48	2	4	8	7	1
348	honesthyp	2	0	0	1	0	50			50	50	35			50	42.5	23			50	36.5	61			50	55.5	45			35	40	46.125	26	1	5	8	4	1
349	disclosurehyp	4	0	0	0	1	30	43			36.5	35	27			31	13	17			15	11	29			20	73	85			79	25.625	29	2	2	6	6	1
350	honesthyp	2	0	0	1	0		50	60		55		48	50		49		45	46		45.5		45	46		45.5		63	59		61	48.75	62	2	6	8	6	3
351	disclosurehyp	4	0	0	0	1		21	18		19.5		49	49		49		37	36		36.5		12	11		11.5		100	100		100	29.125	29	2	5	1	5	3
352	disclosurehyp	4	0	0	0	1	45			45	45	56			46	51	45			42	43.5	40			40	40	77			84	80.5	44.875	30	2	4	8	3	2
353	controltrans	3	0	1	0	0	38			39	38.5	42			28	35	26			29	27.5	26			27	26.5	61			68	64.5	31.875	38	1	5	4	5	2
354	disclosurehyp	4	0	0	0	1	2			10	6	16			15	15.5	17			14	15.5	20			21	20.5	67			73	70	14.375	26	1	6	2	4	3
355	tradhyp	1	1	0	0	0		20	21		20.5		19	24		21.5		21	20		20.5		24	19		21.5		96	90		93	21	36	1	4	8	2	1
356	disclosurehyp	4	0	0	0	1		24	43		33.5		26	51		38.5		5	19		12		6	19		12.5		95	87		91	24.125	43	1	4	4	4	1
357	tradhyp	1	1	0	0	0	9			19	14	0			9	4.5	0			39	19.5	0			25	12.5	100			94	97	12.625	19	1	3	2	3	4
358	disclosurehyp	4	0	0	0	1			0	0	0			7	22	14.5			0	1	0.5			0	1	0.5			100	100	100	3.875	56	1	4	3	5	1
359	controltrans	3	0	1	0	0			39	34	36.5			36	44	40			40	43	41.5			38	6	22			63	64	63.5	35	37	2	6	8	3	2
360	honesthyp	2	0	0	1	0			62	39	50.5			36	25	30.5			67	78	72.5			28	50	39			50	76	63	48.125	34	1	4	5	3	1
361	disclosurehyp	4	0	0	0	1	29			44	36.5	19			43	31	22			42	32	7			59	33	100			90	95	33.125	30	1	4	6	4	1
362	disclosurehyp	4	0	0	0	1	6	5			5.5	17	6			11.5	13	6			9.5	0	3			1.5	100	95			97.5	7	31	2	5	4	3	1
363	controltrans	3	0	1	0	0			42	20	31			40	42	41			61	32	46.5			39	67	53			35	54	44.5	42.875	23	1	2	2	3	2
364	honesthyp	2	0	0	1	0	59			59	59	65			58	61.5	59			40	49.5	36			33	34.5	26			27	26.5	51.125	60	1	2	2	3	2
365	honesthyp	2	0	0	1	0	45	43			44	41	45			43	37	44			40.5	36	50			43	71	68			69.5	42.625	39	1	6	7	4	2
366	tradhyp	1	1	0	0	0	59	64			61.5	57	60			58.5	56	59			57.5	42	47			44.5	44	59			51.5	55.5	24	1	4	3	4	1
367	honesthyp	2	0	0	1	0	44	29			36.5	41	31			36	18	20			19	30	23			26.5	100	94			97	29.5	36	2	5	5	6	2
368	controltrans	3	0	1	0	0	0	10			5	0	25			12.5	0	6			3	0	0			0	29	5			17	5.125	46	2	2	5	6	1
369	disclosurehyp	4	0	0	0	1	23			44	33.5	25			43	34	23			42	32.5	21			45	33	83			61	72	33.25	19	1	2	1	5	1
370	tradhyp	1	1	0	0	0	19	36			27.5	50	61			55.5	10	50			30	0	42			21	100	100			100	33.5	37	2	6	9	5	3
371	tradhyp	1	1	0	0	0			51	50	50.5			50	49	49.5			33	50	41.5			36	51	43.5			85	79	82	46.25	36	2	4	3	4	2
372	disclosurehyp	4	0	0	0	1		47	47		47		48	48		48		18	33		25.5		39	28		33.5		67	62		64.5	38.5	32	2	5	1	5	2
373	disclosurehyp	4	0	0	0	1		4	16		10		39	41		40		1	14		7.5		17	19		18		98	15		56.5	18.875	39	2	3	9	1	1
374	controltrans	3	0	1	0	0	51	50			50.5	48	52			50	50	50			50	44	47			45.5	50	50			50	49	34	2	6	6	5	1
