id	condition	cond2	tradhyp	controltrans	honesthyp	disclosurehyp	likemu_1	likejd_1	likepc_1	likepd_1	like	goodmu_1	goodjd_1	goodpc_1	goodpd_1	good	trustmu_1	trustjd_1	trustpc_1	trustpd_1	trust	honestmu_1	honestjd_1	honestpc_1	honestpd_1	honest	hypmu_1	hypjd_1	hyppc_1	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
45	honesthyp	2	0	0	1	0			39	52	45.5			42	48	45			37	46	41.5			28	23	25.5			60	63	61.5	39.375	46	2	5	10	3	1
46	disclosurehyp	4	0	0	0	1	0	25			12.5	38	40			39	22	14			18	0	0			0	100	100			100	17.375	27	1	4	2	5	3
47	honesthyp	2	0	0	1	0		67	15		41		79	8		43.5		67	20		43.5		64	11		37.5		100	100		100	41.375	50	2	4	2	7	1
48	tradhyp	1	1	0	0	0		50	52		51		54	73		63.5		46	43		44.5		29	55		42		85	79		82	50.25	20	2	4	1	4	2
49	controltrans	3	0	1	0	0	25			26	25.5	8			21	14.5	1			16	8.5	2			13	7.5	17			16	16.5	14	48	2	3	4	3	1
50	controltrans	3	0	1	0	0	0	10			5	21	30			25.5	0	32			16	0	40			20	0	27			13.5	16.625	27	2	4	3	4	3
51	controltrans	3	0	1	0	0		63	22		42.5		70	38		54		77	22		49.5		79	14		46.5		22	50		36	48.125	37	2	4	3	6	3
52	honesthyp	2	0	0	1	0		50	48		49		53	46		49.5		46	42		44		46	55		50.5		64	80		72	48.25	25	1	2	6	4	3
53	honesthyp	2	0	0	1	0	48	0			24	47	26			36.5	75	0			37.5	65	0			32.5	91	100			95.5	32.625	23	2	5	9	5	2
54	controltrans	3	0	1	0	0	22			40	31	57			55	56	58			58	58	50			56	53	47			57	52	49.5	63	2	4	9	6	2
55	disclosurehyp	4	0	0	0	1	36			33	34.5	40			48	44	38			42	40	43			41	42	75			79	77	40.125	28	2	6	6	5	1
56	tradhyp	1	1	0	0	0		18	20		19		37	24		30.5		17	24		20.5		24	33		28.5		100	19		59.5	24.625	43	1	5	7	5	1
57	honesthyp	2	0	0	1	0		73	57		65		73	73		73		70	69		69.5		72	72		72		54	62		58	69.875	27	2	5	7	6	3
58	controltrans	3	0	1	0	0		49	44		46.5		47	37		42		47	43		45		47	44		45.5		36	30		33	44.75	37	2	6	6	4	2
59	controltrans	3	0	1	0	0			36	48	42			36	50	43			34	45	39.5			27	44	35.5			46	50	48	40	60	1	4	8	5	1
60	tradhyp	1	1	0	0	0			13	0	6.5			29	29	29			18	0	9			28	4	16			100	100	100	15.125	22	1	4	4	3	1
61	disclosurehyp	4	0	0	0	1	0			22	11	0			36	18	0			26	13	0			17	8.5	100			78	89	12.625	26	2	5	3	4	3
62	tradhyp	1	1	0	0	0		58	28		43		54	37		45.5		42	37		39.5		44	14		29		39	100		69.5	39.25	40	1	5	6	7	1
63	disclosurehyp	4	0	0	0	1		79	40		59.5		60	46		53		40	60		50		42	73		57.5		69	75		72	55	18	2	4	4	5	1
64	honesthyp	2	0	0	1	0		50	51		50.5		50	51		50.5		49	50		49.5		49	59		54		59	63		61	51.125	30	1	5	5	6	3
65	controltrans	3	0	1	0	0			50	49	49.5			37	46	41.5			30	43	36.5			31	50	40.5			40	48	44	42	44	1	2	4	6	1
66	controltrans	3	0	1	0	0			1	1	1			3	10	6.5			2	97	49.5			3	0	1.5			100	96	98	14.625	27	2	4	5	2	2
67	disclosurehyp	4	0	0	0	1		18	17		17.5		47	44		45.5		42	11		26.5		48	16		32		85	90		87.5	30.375	48	2	5	8	6	1
68	controltrans	3	0	1	0	0	48	50			49	50	50			50	50	50			50	29	51			40	49	50			49.5	47.25	31	1	2	5	5	1
69	honesthyp	2	0	0	1	0			50	48	49			49	46	47.5			34	43	38.5			54	50	52			68	60	64	46.75	30	2	6	9	3	1
70	controltrans	3	0	1	0	0	0			35	17.5	14			14	14	20			25	22.5	0			34	17	5			16	10.5	17.75	28	1	3	8	3	2
71	controltrans	3	0	1	0	0	44			42	43	44			46	45	44			42	43	44			42	43	45			57	51	43.5	49	1	5	9	4	2
72	tradhyp	1	1	0	0	0	39			42	40.5	44			45	44.5	44			53	48.5	43			53	48	56			61	58.5	45.375	25	2	6	6	5	3
