id	goodinfo	condemn	qAnswered	totalCorrect	percCorrect	ansall	dowork	doromantic	doacademic	dodrugs	trustswork	trustsromantic	trustsacademic	trustsdrugs	trustgwork	trustgromantic	trustgacademic	trustgdrugs	likework	likeromantic	likeacademic	likedrugs	compq1work	compq1romantic	compq1academic	compq1drugs	compq2work	compq2romantic	compq2academic	compq2drugs	compq3work	compq3romantic	compq3academic	compq3drugs	compq4work	compq4romantic	compq4academic	compq4drugs	sumdo	sumtrusts	sumtrustg	sumlike	sumtotal	age	gender	edu	income	generaltrust	previousexperience
124	0	1	16	16	1	1	2	3	2	2	5	5	5	5	5	5	5	5	5	6	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.75	5	5	5.25	5.25	20	1	2	2	3	2
125	0	0	16	16	1	1	2	3	3	3	5	4	4	5	5	4	5	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5.25	4.5	4.5	4	4.5625	24	2	5	1	5	2
126	1	0	16	16	1	1	1	2	3	2	6	6	6	6	5	5	5	5	5	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	6	5	5	5.5	21	1	2	1	4	3
127	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	20	1	4	5	4	1
128	1	1	16	16	1	1	3	3	4	5	4	5	4	4	4	4	4	4	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	4.25	4.25	4	4	4.125	32	1	5	4	5	1
129	1	0	16	16	1	1	2	2	5	2	6	6	4	6	5	7	3	4	5	5	4	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.25	5.5	4.75	4.75	5.0625	25	1	5	6	5	1
130	0	1	16	16	1	1	4	4	3	3	4	5	5	5	4	5	4	4	3	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4.5	4.75	4.25	3.75	4.3125	20	1	4	1	3	1
131	0	1	16	16	1	1	2	4	1	3	5	4	5	5	5	4	5	5	3	5	5	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.5	4.75	4.75	4.25	4.8125	19	1	4	5	5	2
132	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	22	1	4	4	3	1
133	1	1	16	16	1	1	2	2	3	2	5	6	5	5	4	5	5	4	4	5	4	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.75	5.25	4.5	4.25	4.9375	37	1	5	7	5	2
134	1	0	8	7	0.875	0	4		2		4		5		5		5		5		4		2		2		1		2		3		3		2		2		5	4.5	5	4.5	4.75		1				
135	0	1	16	16	1	1	2	2	2	2	6	6	5	6	3	4	4	4	4	5	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6	5.75	3.75	4.25	4.9375	43	2	6	5	5	1
136	0	0	16	16	1	1	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4.25	4	4	4.0625	24	1	4	1	6	1
137	0	1	16	16	1	1	5	2	5	3	5	4	4	5	4	4	4	4	3	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4.25	4.5	4	3.75	4.125	26	1	4	4	2	2
138	0	0	16	16	1	1	5	4	3	4	4	4	5	6	4	5	5	5	5	4	5	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4.75	4.75	4.75	4.5625	58	2	3	6	4	1
139	1	0	16	16	1	1	1	1	1	1	7	7	7	7	6	6	6	6	4	6	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	7	7	6	4.5	6.125	23	1	5	3	3	1
140	0	0	16	16	1	1	3	3	3	5	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.5	4	4	4	4.125	30	1	6	7	4	1
141	1	0	16	16	1	1	2	2	4	4	7	5	7	6	7	5	6	5	5	5	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5	6.25	5.75	4.5	5.375	32	2	5	10	5	1
142	1	1	4	3	0.75	0			3				5				5				4				2				1				2				1		5	5	5	4	4.75		1				
143	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	25	1	4	1	5	3
144	1	1	16	16	1	1	5	1	1	5	5	6	5	5	5	5	5	6	6	5	6	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5	5.25	5.25	5.5	5.25	55	2	3	6	7	1
145	0	1	16	16	1	1	3	4	4	4	3	4	4	4	3	4	4	4	3	5	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4.25	3.75	3.75	4	3.9375	30	2	4	5	5	1
146	1	0	16	13	0.8125	1	2	3	2	1	5	3	2	1	5	2	3	1	5	4	2	1	2	2	1	2	1	1	2	1	3	3	3	3	2	2	1	2	6	2.75	2.75	3	3.625		1				
147	0	1	16	16	1	1	1	2	1	1	5	4	5	5	5	1	5	5	5	4	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.75	4.75	4	4.75	5.0625	25	2	5	5	5	1
148	0	1	16	16	1	1	2	1	2	2	5	6	5	5	5	6	5	5	5	6	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.25	5.25	5.25	5.25	5.5	38	1	5	7	6	1
149	0	1	16	16	1	1	4	3	4	2	4	3	4	5	3	4	4	3	6	6	6	6	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4.75	4	3.5	6	4.5625	54	1	5	5	6	1
150	1	0	16	16	1	1	2	1	1	6	7	7	6	1	6	6	5	5	5	6	5	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.5	5.25	5.5	5	5.3125	35	1	2	6	7	1
151	1	1	4	3	0.75	0		1				3				5				2				2				1				1				1			7	3	5	2	4.25		1				
152	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	31	1	6	7	6	1
153	1	1	16	16	1	1	4	4	2	3	2	2	4	4	3	3	4	5	3	3	4	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	4.75	3	3.75	3.5	3.75	43	2	2	5	5	4
154	1	0	16	16	1	1	3	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4.25	3.75	4	4	4	32	2	5	6	5	1
155	1	1	16	16	1	1	7	2	1	2	6	7		7	5	7	6	5	6	5	7	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5	6.666666508	5.75	5.75	5.791666508	41	1	4	6	5	1
156	0	0	16	15	0.9375	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	1	4.25	4	4	4	4.0625		2				
157	1	0	16	16	1	1	2	2	2	2	5	5	5	5	5	5	5	5	4	5	5	3	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	5	5	4.25	5.0625	49	2	4	6	5	1
158	0	1	16	16	1	1	2	1	2	1	7	6	6	6	7	3	3	3	5	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.5	6.25	4	5	5.4375	29	1	5	8	5	3
159	0	0	16	16	1	1	3	3	3	3	4	4	4	5	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5	4.25	4	4	4.3125	45	2	6	10	6	1
160	1	1	8	8	1	0	2		3		6		4		6		5		5		5		2		2		1		1		3		3		1		1		5.5	5	5.5	5	5.25		2				
161	1	0	16	16	1	1	3	2	3	4	4	6	5	5	5	4	5	4	4	5	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5	5	4.5	4.25	4.6875	46	1	2	7	6	1
162	0	1	4	4	1	0				5				3				4				4				1				1				3				1	3	3	4	4	3.5		2				
163	1	0	16	16	1	1	1	2	2	3	6	1	6	6	6	5	5	5	6	6	5	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	4.75	5.25	5.5	5.375	52	2	4	4	6	3
164	0	1	16	16	1	1	1	1	1	2	6	7	7	6	6	6	6	6	3	6	6	6	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.75	6.5	6	5.25	6.125	24	2	5	4	5	1
165	0	0	16	16	1	1	2	3	4	2	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5.25	4	4	4	4.3125	32	1	5	3	4	1
166	0	1	16	16	1	1	1	1	2	1	6	4	6	6	6	6	6	6	5	4	5	6	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.75	5.5	6	5	5.8125	52	1	6	8	5	1
167	0	0	16	16	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4	4	4	4.1875	53	2	2	5	4	1
168	1	1	16	16	1	1	2	2	2	2	6	7	6	7	6	7	6	6	6	7	6	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6	6.5	6.25	6.25	6.25	48	2	5	8	6	1
169	1	0	12	11	0.916666687	0		3	3	3		5	5	5		5	5	5		5	4	4		2	2	2		1	1	3		3	3	3		2	2	2	5	5	5	4.333333492	4.833333492		1				
170	1	0	16	16	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	6	7	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	7	7	7	6.5	6.875	39	2	4	6	4	2
171	0	0	16	16	1	1	4	1	4	4	5	4	5	5	5	3	5	5	5	4	4	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4.75	4.5	4.5	4.625	43	2	2	4	4	1
172	0	0	16	16	1	1	4	4	4	4	4	4	4	6	4	4	4	5	4	4	4	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4.5	4.25	4.25	4.25	45	1	4	6	5	2
173	1	1	4	0	0	0				5				2				3				1				3				2				1				2	3	2	3	1	2.25		1				
174	0	1	4	4	1	0		3				5				5				4				1				1				3				1			5	5	5	4	4.75		1				
175	1	0	16	16	1	1	5	6	7	2	6	5	6	4	5	5	6	5	7	7	5	7	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	3	5.25	5.25	6.5	5	29	1	5	9	5	1
176	0	0	16	16	1	1	2	2	1	5	4	6	5	3	6	6	5	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5.5	4.5	5.25	4	4.8125	36	1	2	5	6	1
177	1	1	16	15	0.9375	1	4	5	4	2	2	1	3	3	2	1	1	1	3	1	1	2	2	2	2	2	1	1	1	1	3	3	3	2	1	1	1	1	4.25	2.25	1.25	1.75	2.375		2				
178	0	1	16	16	1	1	2	2	2	2	6	6	6	6	5	5	5	5	5	4	5	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6	6	5	4.5	5.375	34	2	6	6	5	1
179	1	1	16	16	1	1	5	2	5	5	6	4	4	4	4	5	3	3	5	5	4	3	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	3.75	4.5	3.75	4.25	4.0625	21	2	2	1	4	1
180	1	0	16	16	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	7	7	7	7	7	30	2	5	1	5	1
181	0	0	16	16	1	1	4	4	5	4	4	5	1	4	4	5	4	4	4	5	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	3.75	3.5	4.25	4.25	3.9375	34	1	4	4	6	1
182	0	1	16	16	1	1	6	5	1	5	5	4	7	7	6	3	7	6	5	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	3.75	5.75	5.5	5	5	21	2	4	5	7	1
183	1	1	16	16	1	1	2	5	1	2	6	5	5	4	5	3	4	4	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.5	5	4	4	4.625	27	1	6	1	6	1
184	0	0	4	3	0.75	0			4				6				6				6				1				2				3				2		4	6	6	6	5.5		2				
185	1	1	4	3	0.75	0		2				3				5				5				2				3				3				1			6	3	5	5	4.75		2				
186	0	1	16	16	1	1	7	2	5	7	1	6	6	4	4	4	5	2	4	5	5	2	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	2.75	4.25	3.75	4	3.6875	30	1	5	7	3	2
187	1	0	16	16	1	1	3	3	3	5	5	5	4	4	5	5	4	3	4	5	5	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4.5	4.5	4.25	4.5	4.4375	43	1	4	6	5	1
188	0	1	16	16	1	1	1	1	1	1	2	7	7	7	1	5	7	7	4	5	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	7	5.75	5	4.25	5.5	40	1	4	10	5	1
189	1	1	16	15	0.9375	1	2	3	3	3	6	5	5	4	5	5	5	5	4	5	5	4	2	2	2	2	1	2	1	1	3	3	3	3	1	1	1	1	5.25	5	5	4.5	4.9375		2				
190	0	0	16	16	1	1	3	2	2	2	5	5	5	5	3	5	5	5	4	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5.75	5	4.5	4.75	5	57	2	6	9	7	1
191	1	1	16	16	1	1	2	3	5	4	5	4	4	4	5	4	4	4	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	4.5	4.25	4.25	4	4.25	31	1	5	6	6	1
192	1	0	16	16	1	1	4	1	4	4	4	1	4	4	4	1	4	4	4	1	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4.75	3.25	3.25	3.25	3.625	20	2	1	1	3	1
193	0	0	16	16	1	1	3	4	3	3	4	4	5	5	4	4	5	4	4	4	4	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4.5	4.25	4.25	4.4375	36	2	5	6	4	1
194	1	1	16	16	1	1	2	2	2	2	6	7	6	7	7	6	6	7	6	7	5	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6	6.5	6.5	6	6.25	33	1	6	10	6	1
195	1	0	16	16	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	7	7	7	7	7	24	2	2	4	5	1
196	0	1	16	16	1	1	5	1	3	4	5	4	3	2	4	5	4	1	4	5	4	2	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4.75	3.5	3.5	3.75	3.875	41	2	5	8	5	3
197	0	1	16	16	1	1	2	3	2	2	4	3	5	5	4	3	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.75	4.25	3.75	4	4.4375	46	2	4	5	5	2
198	0	0	4	3	0.75	0				5				4				5				4				1				1				2				2	3	4	5	4	4		1				
199	1	0	16	16	1	1	1	3	3	2	7	6	6	6	6	6	6	6	6	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.75	6.25	6	6	6	34	1	4	2	6	1
200	1	0	16	16	1	1	2	1	2	2	6	6	6	6	6	5	6	6	6	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6.25	6	5.75	6	6	30	1	6	9	5	1
201	0	0	16	16	1	1	2	2	6	2	5	4	5	5	5	4	5	5	5	4	5	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5	4.75	4.75	4.75	4.8125	63	2	2	7	5	1
202	1	0	16	16	1	1	7	1	1	1	7	7	7	7	7	7	7	7	7	7	7	7	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.5	7	7	7	6.625	35	2	4	6	7	1
203	1	1	16	16	1	1	2	1	1	1	5	6	6	6	6	7	6	5	6	6	5	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6.75	5.75	6	5.75	6.0625	24	2	5	4	6	2
204	0	1	16	16	1	1	1	1	1	1	7	5	7	7	7	6	6	6	5	6	6	6	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	7	6.5	6.25	5.75	6.375	18	2	4	3	7	1
205	1	0	16	16	1	1	3	3	2	2	5	5	5	5	4	5	4	4	4	5	5	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.5	5	4.25	4.5	4.8125	23	2	5	5	4	1
206	1	1	16	16	1	1	5	2	5	6	5	6	4	6	6	6	6	5	6	6	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	3.5	5.25	5.75	5.5	5	22	1	2	6	5	1
207	1	1	16	16	1	1	2	2	2	2	5	6	6	5	5	5	5	5	5	6	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6	5.5	5	5.25	5.4375	28	1	5	6	6	1
208	0	0	16	16	1	1	4	4	3	2	4	4	4	5	4	4	4	5	4	4	4	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4.25	4.25	4.25	4.375	45	2	5	8	6	3
209	0	0	16	16	1	1	5	5	5	5	3	3	5	3	4	4	4	3	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	3	3.5	3.75	4	3.5625	24	1	2	4	5	3
210	0	1	16	16	1	1	1	1	2	1	5	4	4	5	5	5	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.75	4.5	4.5	4	4.9375	25	1	5	9	6	1
211	1	0	16	16	1	1	1	2	1	1	7	6	6	6	7	6	6	6	7	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6.75	6.25	6.25	6.25	6.375	33	1	4	5	6	1
212	0	1	4	4	1	0	5				2				5				3				1				1				3				1				3	2	5	3	3.25		1				
213	1	1	4	2	0.5	0		2				6				4				4				1				1				2				1			6	6	4	4	5		2				
214	0	0	16	16	1	1	3	3	2	3	4	5	5	5	5	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5.25	4.75	4.25	4	4.5625	28	1	6	3	3	2
215	1	1	16	16	1	1	2	2	1	3	5	6	6	5	5	5	5	4	4	5	4	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6	5.5	4.75	4.25	5.125	28	1	5	3	4	2
216	0	1	16	16	1	1	1	2	1	2	6	5	6	6	6	6	6	5	6	5	6	6	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.5	5.75	5.75	5.75	5.9375	31	1	4	5	5	1
217	1	0	16	16	1	1	4	4	6	4	1	1	1	1	1	1	1	1	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	3.5	1	1	4	2.375	24	2	5	6	4	1
218	0	1	4	2	0.5	0			4				3				4				4				3				1				1				1		4	3	4	4	3.75		2				
219	1	0	16	16	1	1	2	2	2	2	6	6	6	6	6	6	6	6	5	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	6	6	5	5.75	67	1	6	8	6	1
220	0	0	16	16	1	1	2	2	2	2	6	5	6	6	6	6	6	6	6	5	4	6	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	6	5.75	6	5.25	5.75	48	2	5	5	6	1
221	0	1	16	16	1	1	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	1	1	1	1	1	60	2	4	5	1	1
222	0	1	16	16	1	1	5	2	2	2	5	4	5	5	4	5	5	5	4	4	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.25	4.75	4.75	4.5	4.8125	23	1	4	7	5	1
223	0	0	16	16	1	1	3	3	3	3	6	6	5	6	5	5	6	5	5	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5	5.75	5.25	5	5.25	31	1	4	5	6	1
224	1	0	16	16	1	1	2	1	3	4	6	2	4	4	5	6	5	4	4	6	5	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.5	4	5	5	4.875	25	2	4	5	5	1
225	0	0	16	16	1	1	4	2	4	4	4	4	4	4	4	4	4	4	4	4	5	3	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.5	4	4	4	4.125	53	2	4	7	4	2
226	1	1	16	16	1	1	2	1	1	1	5	7	6	6	5	5	5	6	5	5	5	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6.75	6	5.25	5.25	5.8125	55	2	4	4	5	1
227	1	0	16	16	1	1	2	2	2	3	7	6	6	6	6	6	6	5	6	5	6	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.75	6.25	5.75	5.5	5.8125	31	2	6	7	5	1
228	1	0	8	7	0.875	0		7	7			1	3			3	3			1	2			2	2			3	1			3	3			2	2		1	2	3	1.5	1.875		1				
229	1	1	16	16	1	1	6	2	2	2	5	6	7	6	5	5	5	5	4	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5	6	5	4.75	5.1875	30	1	3	2	5	2
230	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	62	1	4	9	6	2
231	1	0	4	4	1	0	1				5				5				5				2				1				3				2				7	5	5	5	5.5		1				
232	0	1	16	16	1	1	3	3	2	3	4	4	5	4	4	4	4	4	4	4	5	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.25	4.25	4	4.25	4.4375	27	1	5	6	5	2
233	1	1	16	16	1	1	2	1	2	2	6	6	5	5	4	3	4	4	4	3	4	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6.25	5.5	3.75	4	4.875	41	1	5	7	5	1
234	1	0	4	3	0.75	0		3				4				4				4				2				1				1				2			5	4	4	4	4.25		1				
235	0	1	16	16	1	1	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5	5	5	5	5	21	2	4	5	5	1
236	1	1	16	16	1	1	2	3	2	2	5	4	5	5	5	4	5	5	5	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.75	4.75	4.75	4.25	4.875	29	2	5	9	4	1
237	0	1	16	16	1	1	2	4	2	2	5	3	5	5	5	4	4	4	5	5	4	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.5	4.5	4.25	4.75	4.75	32	1	4	7	3	3
238	0	1	16	16	1	1	2	2	1	2	6	6	6	5	4	5	5	3	5	6	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.25	5.75	4.25	5.25	5.375	23	2	5	3	3	2
239	1	0	16	16	1	1	2	3	4	3	3	3	4	3	3	3	4	3	3	3	4	3	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5	3.25	3.25	3.25	3.6875	25	1	5	6	4	3
240	1	1	4	2	0.5	0		3				4				4				3				2				1				2				2			5	4	4	3	4		1				
241	0	0	16	16	1	1	1	1	2	2	5	6	6	5	4	4	4	6	4	5	4	6	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	6.5	5.5	4.5	4.75	5.3125	22	1	4	6	4	3
242	0	1	16	16	1	1	2	3	3	2	5	6	4	6	4	5	4	5	3	5	3	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.5	5.25	4.5	4	4.8125	26	1	5	5	5	1
243	1	1	16	16	1	1	2	1	1	2	5	7	6	6	4	6	6	5	4	6	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6.5	6	5.25	5	5.6875	25	2	4	4	6	1
244	1	0	16	16	1	1	3	2	2	3	4	6	4	5	5	5	4	4	4	6	4	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.5	4.75	4.5	4.75	4.875	25	1	4	2	4	1
245	0	0	16	16	1	1	2	3	2	1	5	4	5	6	5	4	5	4	5	4	5	6	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	6	5	4.5	5	5.125	28	2	5	6	5	1
246	1	1	16	16	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	7	6	6	6	6.25	30	1	5	5	6	1
247	1	0	16	16	1	1	2	3	3	3	6	6	6	6	5	5	5	5	5	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.25	6	5	5	5.3125	30	2	5	1	5	1
248	0	1	16	16	1	1	4	2	2	1	3	6	6	5	5	4	6	6	2	3	5	6	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.75	5	5.25	4	5	46	1	4	5	1	1
249	1	0	16	16	1	1	2	4	2	2	6	6	6	6	5	6	6	5	5	5	5	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.5	6	5.5	4.75	5.4375	23	1	4	3	6	2
250	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	30	1	5	7	6	2
251	0	1	4	3	0.75	0				2				5				4				4				1				1				2				1	6	5	4	4	4.75		1				
252	1	1	16	16	1	1	5	1	1	3	3	7	5	5	4	6	3	4	4	5	6	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.5	5	4.25	4.75	4.875	19	1	4	2	5	1
253	1	1	16	16	1	1	1	2	2	2	6	6	6	6	6	5	5	3	5	5	6	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6.25	6	4.75	5.25	5.5625	35	2	4	7	2	3
254	1	0	16	16	1	1	5	3	5	2	4	3	4	2	3	3	5	2	3	3	5	2	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4.25	3.25	3.25	3.25	3.5	28	2	4	6	5	1
255	1	1	8	6	0.75	0	1		1		6		4		4		4		5		4		3		2		1		1		2		3		1		1		7	5	4	4.5	5.125		1				
256	1	0	16	16	1	1	3	3	3	4	5	4	5	5	5	5	5	5	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4.75	5	4	4.625	31	1	5	6	5	1
257	0	0	16	16	1	1	3	5	4	6	4	1	2	1	3	1	2	1	3	1	2	2	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	3.5	2	1.75	2	2.3125	21	2	4	1	5	2
258	1	0	16	16	1	1	3	3	3	3	5	5	5	5	5	5	5	5	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5	5	5	4	4.75	50	1	6	6	4	1
259	0	0	16	16	1	1	3	2	3	3	5	6	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5.25	5.25	5	5	5.125	31	1	4	6	6	2
260	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	22	1	5	4	3	3
261	1	0	16	16	1	1	2	4	4	3	6	5	2	1	6	5	3	3	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4.75	3.5	4.25	4	4.125	30	2	5	2	3	1
262	1	1	16	16	1	1	1			2	7	5	4	4	5	4	3	4	4	3	4	3	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6.5	5	4	3.5	4.75	27	1	5	3	3	1
